filepath,label,img_size
data\bali-26_train\bali-26_train\bamboo\1.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\10.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\100.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1000.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1001.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1002.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1003.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1004.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1005.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1006.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1007.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1008.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1009.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\101.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1010.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1011.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1012.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1013.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1014.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1015.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1016.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1017.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1018.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1019.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\102.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1020.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1021.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1022.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1023.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1024.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1025.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1026.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1027.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1028.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1029.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\103.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1030.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1031.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1032.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1033.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1034.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1035.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1036.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1037.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1038.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1039.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\104.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1040.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1041.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1042.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1043.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1044.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1045.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1046.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1047.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1048.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1049.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\105.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1050.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1051.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1052.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1053.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1054.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1055.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1056.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1057.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1058.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1059.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\106.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1060.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1061.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1062.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1063.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1064.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1065.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1066.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1067.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1068.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1069.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\107.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1070.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1071.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1072.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1073.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1074.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1075.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1076.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1077.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1078.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1079.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\108.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1080.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1081.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1082.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1083.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1084.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1085.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1086.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1087.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1088.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1089.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\109.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1090.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1091.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1092.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1093.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1094.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1095.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1096.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1097.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1098.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1099.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\11.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\110.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1100.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1101.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1102.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1103.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1104.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1105.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1106.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1107.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1108.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1109.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\111.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1110.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1111.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1112.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1113.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1114.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1115.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1116.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1117.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1118.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1119.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\112.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1120.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1121.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1122.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1123.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1124.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1125.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1126.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1127.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1128.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1129.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\113.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1130.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1131.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1132.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1133.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1134.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1135.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1136.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1137.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1138.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1139.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\114.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1140.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1141.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1142.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1143.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1144.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1145.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1146.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1147.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1148.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1149.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\115.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1150.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1151.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1152.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1153.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1154.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1155.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1156.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1157.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1158.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1159.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\116.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1160.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1161.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1162.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1163.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1164.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1165.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1166.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1167.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1168.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1169.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\117.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1170.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1171.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1172.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1173.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1174.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1175.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1176.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1177.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1178.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1179.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\118.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1180.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1181.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1182.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1183.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1184.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1185.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1186.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1187.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1188.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1189.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\119.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1190.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1191.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1192.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1193.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1194.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1195.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1196.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1197.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1198.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1199.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\12.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\120.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1200.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1201.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1202.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1203.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1204.jpg,bamboo,1
data\bali-26_train\bali-26_train\bamboo\1205.jpg,bamboo,1
